Word,Frequency
gfr,3
ilthe,3
factoralpha,2
alphamean,1
iggmean,1
igmthe,1
loadmean,1
manifestationnature,1
recoverythe,3
missed,10
toxicity,41
dltmortality,1
rateventilation,6
supportdays,3
deathsincidence,2
infectiongvhd,1
nmb,1
saepreliminary,2
illnessmortalitypreliminary,2
ratiohospitalizationlife,2
illnessclinical,3
newssupport,2
scalesupport,2
scalevirus,2
clearanceexploratory,2
cytokineschemokines,3
immunomodulating,2
factorsexploratory,2
countsexploratory,2
histone,2
cellfree,2
ventilationtransfer,1
loshospital,3
stigma,1
interventionchange,14
internet,2
nutrition,10
nrs,9
trialchange,16
monocyte,8
chemoattractant,6
mcp,5
trialheightchange,1
mid,2
circumference,7
triceps,1
skinfold,1
thickness,8
mama,1
lymphocytic,1
pet,6
examinationsarscov,1
quasispecies,4
specimensarscov,3
specimenmultimodal,1
phasemultimodal,1
hospitalizationincidence,12
admissionincidence,4
populationfrequency,1
decompensation,6
indexfeasibility,1
patientsspecificity,1
patientspositive,2
patientsnegative,2
likelihood,5
patientschange,3
pretest,2
contactchange,3
contactcutoff,1
discriminates,1
infectivityrisk,1
negativeto,1
quarantinethe,1
quarantine,13
motility,7
nonprogressive,1
immotilesemen,1
concentrationsemen,1
morphologysemen,1
volumesexrelated,1
testosteronesexrelated,1
follicle,1
luteinizing,1
diseasespecific,2
inverse,1
poor,8
disabilityfree,1
survivalphysiotherapy,1
interventionhealth,1
statusglobal,2
functioncognitive,2
functionanxiety,2
depressionscreening,1
distresswork,1
icuthe,2
interventionsadverse,1
interventionsphenomenological,1
severecriticaltotal,1
hospitalizationtotal,2
dischargecomposite,1
mortalitytotal,2
admissiontotal,1
intubationtotal,1
hfnc,8
nippv,1
dischargetotal,2
requirements,12
dischargein,1
celsius,4
anticipated,3
armincidence,8
drugincidence,1
withattributable,1
covidcumulative,5
edhospitalcumulative,1
remdesivir,8
edhospitaldischarge,1
anticoagulation,3
needscontinuous,1
peptidecontinuous,1
proteincontinuous,1
ddimercontinuous,1
ferritincontinuous,1
procalcitonincontinuous,1
creatininecontinuous,1
troponincontinuous,1
hepatic,11
altastalkaline,1
phosphotasecontinuous,1
bilirubincontinuous,1
proteinalbumincontinuous,1
several,13
generated,4
proteomic,9
ventilateddescription,1
mediumterm,3
persistencesensitivity,1
immunodiagnostic,1
symptomssensitivity,1
salivary,8
symptomssuitability,1
view,5
intended,2
purpose,4
eventsrates,2
sarscovserum,2
sarscovcellular,1
responsesupplemental,1
daysicu,19
dayssequential,3
scoreneed,1
vasopressorsneed,1
therapyneed,5
ecmohospital,1
losgrade,1
documentation,5
landscape,1
scaleorgan,1
dysfunctionday,2
mortalityhospitalicu,1
stayicu,9
durationnoninvasive,1
durationmortalityomplete,1
countbiochemistry,1
analysisomplete,1
dynamicsbiochemistry,1
dynamicscomputer,1
tomographyhighsensitive,1
highsensitive,2
dynamicsvitamin,1
levelvitamin,1
dynamicsimmunogramimmunogram,1
frequencybreast,1
feeding,2
behaviorfear,1
outcomehospital,2
outcomemechanical,1
ventilationhospital,5
vthe,3
semenduration,1
semensemen,2
viscositysemen,1
volumesemen,1
phsperm,1
motilitysperm,1
morphologysperm,1
epithelial,7
sarscovaceangii,1
workersabsenteeism,1
intubationhospital,2
mortalityrenal,2
recoveryrespiratory,1
recoveryworking,1
capacityquality,1
recoveryfrailtyactivities,1
lifeanxietydepressionneurological,1
electrolytes,5
electrolyte,3
covidcosts,1
covidsystemic,1
anticancer,3
subgrouplaboratory,1
hospitalizationcovid,2
subgroupsincidence,1
frail,1
patientsinfection,1
ancovaphase,1
noncontagious,2
tolerabilityphase,1
scorephase,1
hospitalizationphase,3
bd,2
veritor,2
pointsassess,2
commercially,3
asay,1
conversiontimetofirst,1
levelsserum,10
cpeptide,1
homa,1
indexserum,1
proinsulininsulin,1
ratioevaluation,1
secretory,2
arginine,2
stimulation,11
testpercentage,2
preserved,1
functionglucose,2
valuesvalues,1
monitoringchanges,1
factorchanges,4
gammachanges,1
proteinchanges,5
granulocytemacrophage,2
colonystimulating,7
childrenmeasure,1
antisneutralization,1
activitypositive,2
qpcr,12
childrencorrelation,1
immunityduration,1
carriage,1
nasopharynxcorrelation,1
clearanceab,1
immunitysaliva,1
biofluid,1
infectedpresence,1
virusreinfectiontransmission,1
familyimmune,1
responsemucosal,1
immunityseroconversion,1
parentsmeasure,1
parentscorrelation,1
accuracyrepeatabilityvalidationasymptomatic,1
construction,1
clinicalecho,1
viruscore,3
departmentevaluate,1
aggravationevaluate,1
valueconstruction,1
decisional,1
triage,8
patientssearch,1
fields,1
resuscitationdeath,1
formsevaluate,1
luscore,1
goldstandard,2
scoreconstruction,1
vomax,1
timepoints,25
cpetchange,1
weekschange,36
often,1
someone,1
down,10
chair,10
seconds,7
secstschange,1
fat,21
bioelectrical,6
impedance,8
biachange,4
lean,6
lbm,2
realtive,1
generalized,48
phqchange,17
psschange,5
bfichange,1
brschange,1
hgs,1
session,13
dynamometerchange,1
postcovidfunctional,1
pcfschange,1
wai,1
tnt,1
samplechange,11
ckmb,3
hscrp,6
cholesterol,12
triglycerides,5
rtpcrconjunctival,1
aspirate,5
warmingpaofio,1
warmingduration,1
immunoglobins,1
covidfactors,1
assumed,1
technical,8
validationevaluation,1
enrollmentrate,1
enrollmenttime,2
daysviral,3
areaunderthecurve,1
auc,57
controltime,1
daysproportion,19
tearspresence,1
systematic,2
interrogationassessement,1
rateprogression,1
episodesrespiratory,1
eventsdeep,1
vein,17
infectionsequential,1
scoreworld,1
scoreinterleukin,1
ildimerdchest,1
scanincidence,3
alterationsclinical,1
effectsother,1
linkage,1
registersexperiences,1
bioethical,1
aspects,3
crisisanalysis,1
mutants,1
covidneed,4
hospitalizationhospital,1
stayneed,9
admissionicu,6
ventilationrecovery,1
existing,9
infectionschange,3
cdmortalitytreatmentemergent,1
eventstreatmentemergent,1
signstreatmentemergent,1
improvementproportion,6
hospitalizationsarscov,1
rateproportion,7
hoursproportion,1
inpatients,8
aggregation,7
multiplateadpplatelet,1
multiplateaspi,1
multiplatetrap,1
controlsreticulated,1
controlsplatelet,1
researchreticulated,1
researchplatelet,1
influenzareticulated,1
influenzaplatelete,1
aggreggation,1
hospitalizationreticulated,1
hospitalizationplatelet,1
icureticulated,1
icuplatelet,1
daysmortalitysymptom,1
durationdisposition,1
categorical,3
failuremortalitysepsiscirculatory,1
failuredays,1
hospitalnad,1
infectionicu,1
indexneed,1
admissioncovid,2
conversionmortality,1
outcomepatients,1
outcomeintensity,1
interventionadverse,1
phenotyping,5
secreting,7
ascs,1
recoveryquantification,1
longlasting,1
reinfectionquantification,1
pcrimmunophenotype,1
circulatory,9
ctfh,1
infectioninvestigating,1
mediated,9
covidin,1
phenotype,14
outlined,1
intubationsigns,1
providers,26
swabincidence,1
recordstime,1
recordsarm,31
respiratoryili,1
toolarm,1
scalearm,5
unplanned,25
infectionrelated,4
qpcrarm,3
whos,2
karnofsky,1
scorearm,1
mortalityarm,2
diaryarm,1
selinexor,1
hoursarm,1
institute,16
nci,5
toxicities,9
infusionrandomized,1
postrandomization,4
dischargerandomized,1
tae,1
monthchange,2
lawton,2
brody,1
deficits,1
pdq,1
davidson,4
trauma,13
dts,1
servicerate,2
hospitalizedrate,1
causerate,2
cellsapgar,1
scorematernal,1
lengthmaternal,1
weightbody,1
lifeincidence,1
rehospitalizationspercentage,1
studyscore,1
livingscore,1
dyspneapercentage,1
needsymptoms,2
depressionsymptoms,1
disorderutility,2
monthsscore,3
intubationday,4
survivalduration,5
treatmentduration,8
testrelation,1
risky,5
prevalencechild,1
covidconfirmed,1
recoverytime,15
onsetdevelopment,1
pneumoniadevelopment,2
diseaseneed,2
icuadverse,1
eventsmortalitytime,1
deisolation,1
intravenous,23
iv,35
ty,1
reducing,14
below,18
patientsall,1
transcriptasepolymerase,2
rtpcrproportion,1
minimum,9
timeweighted,17
subgenomic,1
qrtpcr,2
hcwsclinical,1
hcws,9
hypercoagulability,1
thromboelastography,2
teg,2
aggregationfrequency,1
hprfrequency,1
thromboinflammatory,1
syndromecorrelation,1
tegs,1
outcomescorrelation,1
hpr,1
outcomesdetermine,1
therapydetermine,1
aggregationdetermine,1
rich,1
thrombus,2
curvedetermine,1
recoveryoxygen,1
ratepatient,2
titerseroconversion,1
rateifngamma,1
releasecdcd,1
proliferating,1
cellsvirusneutralizing,1
leg,6
flowclinical,1
evaluationsclinical,1
characteristicspresence,1
devicetherapybiochemical,1
evaluations,10
probnpbiochemical,1
ddimerbiochemical,2
pcrfunctional,1
standfunctional,2
testfunctional,2
biceps,1
dynamometerfunctional,1
dynamometer,1
testnpass,4
ivdmd,3
samplestestnpass,1
swiftnesstestnpass,1
ease,12
useanalytics,1
ivdmdanalytics,1
ivdmdcorrelation,1
electric,1
colchicine,6
reduces,6
glucocorticoids,1
treatmentpercentage,4
stop,9
eventsseverity,2
probable,13
adr,4
vaccinemeasure,1
vaccinesmeasure,1
covidoccurrence,2
certain,1
probableevaluate,1
occurence,5
negativitytime,3
severecritical,13
evidenced,5
weeksrate,1
donorsrate,1
levelimpact,1
efficacypatients,1
af,23
burdenaf,1
progressiontime,5
adjudicated,2
ischemic,13
stroketransient,2
tiasystemic,1
embolismcomposite,1
bleedingtime,2
scaleincidence,8
tolerabilityoxygen,1
supplyclinical,1
temperatureclinical,4
pressureclinical,3
beatclinical,1
ratesevere,1
pcrlaboratory,1
testlaboratory,2
ferritinlaboratory,2
interleukinlaboratory,1
procalcitoninbacterial,1
pneumoniavasoactive,1
drugsmortalitygmcsf,1
adolescent,18
adolescentspresentation,1
egypt,4
daads,1
therapythe,2
intubationrespiratory,1
parametersradiological,1
extensionmean,1
usethe,3
supportthe,4
ilincidence,5
reversetranscriptase,6
negativitythe,1
crpthe,1
pctlevels,1
ddimerlevels,1
inflammationoxygenationchronic,1
outcomespulmonary,1
transthoracic,2
echocardiographyexertionquality,1
fevercoughdiarrheaanxietyinsomniadepression,1
physicianswhat,1
they,10
think,2
ttifirst,1
pass,3
ratetotal,4
manipulationnumber,1
attemptsnumber,1
operators,2
intubationcormacklehane,1
attempt,7
intubationlifting,1
laryngoscope,1
bladelaryngeal,1
applicationvocal,1
positionanesthesiologist,1
difficultyanesthesiologist,1
contributors,1
difficulty,10
anypatient,1
acceptability,33
boxpatient,2
comfort,14
comments,1
box,4
surveyspercentage,1
target,16
surveysprevalence,1
surveyprevalence,1
ddpcr,3
abilities,5
agreements,2
assaysto,1
rateto,8
characteristicsto,1
perform,8
pneumoniachest,1
withoutdetection,1
samplesrelationship,1
swabssubsequently,1
signatures,3
exploredin,1
smaller,1
ideally,1
undue,1
signsreduction,1
rateimprovement,1
investigations,6
apart,1
deathcomposite,4
deathmean,2
scorerates,1
ventilationrates,4
therapieschange,1
burdenchange,2
hochsensitives,1
ntprobrain,1
ntpro,1
bnpnumber,1
systolicdiastolic,1
mmhghospitalisation,1
decompensationrates,1
clonal,1
hematopoiesis,1
indeterminate,1
chip,1
survivalclinical,2
outcomescommon,1
terminology,5
proctcaelevel,1
eqdlcovid,1
questionnairecovid,3
peritraumatic,3
cpdipatient,1
manifestationlength,1
hospitalizationcreactive,2
proteinlymphocyte,2
countserum,2
dehydrogenaseserum,1
interleukinerythrocyte,1
parturient,1
womanconsequences,1
vertical,5
routes,1
pregnancyassessment,2
trimesters,1
pregnancyevaluation,1
diseaseassessment,1
alps,1
sensitisationpressure,2
thresholdstemporal,2
summationdescending,2
nociceptive,2
inhibitionfunctionality,2
stayrate,6
deltamean,1
hyperemia,1
rhipercentage,1
impaired,4
endothelial,23
vasodilator,2
functionpercentage,2
proteinquantity,2
secreted,2
icuoccurrence,2
manifest,2
eventoverall,1
raterisk,2
outcomerate,2
systemclinical,1
illnessmortalitycytokinechemokinehematopoietic,1
modulators,1
illnessproportion,4
workersincidence,3
infectiondays,3
bodys,1
cdays,2
coughdays,4
fatiguemedical,1
interleuken,1
gc,1
nucleotide,1
polymorphisminterleukin,1
changechange,1
countc,1
measurementlactate,1
measurementprocalcitonin,1
measurementd,1
measurementferritin,1
measurementtroponin,1
measurementbrain,1
naturetic,1
measurementmortality,1
freedays,3
vfdallcause,2
treatventilatorfree,1
analysistime,1
successful,23
stayrespiratory,2
weaning,26
sedation,22
comes,13
firstdaily,1
studyrate,1
therapiesincidence,1
mixed,17
acidosisincidence,1
pneumoniaincidence,2
cor,6
pulmonaleincidence,1
barotraumaincidence,2
eventscognitive,1
phone,16
telephone,14
tmoca,1
testquality,1
rand,5
scoreposttraumatic,1
iesr,11
callcostefficacy,1
innovative,1
carol,1
sexual,16
dyspareunia,1
infectionoccupational,1
infectionenvironmental,2
infectionimmunologic,1
workerinflammatory,1
complicationsairway,1
deviceppefirst,1
successinduction,1
techniquesfailed,1
intubationcomplication,1
variabilityelectrodermal,1
activityrespiration,1
pulsefunctionality,1
itu,2
admissionadministration,1
ohospital,1
mortalityimmune,2
fmd,2
pd,5
contingency,1
suspectedconfirmed,2
deteriorationduration,1
raman,2
spectroscopyevaluation,1
groupsdetermination,1
multivariate,4
analysiscorrelation,1
datatest,1
methodologyportable,1
nlrp,1
inflammasome,1
biomarkerprotective,1
factorssmartwatch,1
compliancearrhythmiasqt,1
changeslongitudinal,1
mortalitycomposite,4
hospitalizationpathologies,1
hospitalizationoverall,1
dayspotentially,1
monthslength,1
intermediate,5
carerate,2
carespecific,1
gravity,5
curb,2
confusion,3
killip,1
classspecific,1
variationspecific,1
diseaseleukocytes,1
levelpolynuclear,1
levellymphocytes,1
levelhemoglobin,1
levelthrombocytes,1
levelquick,1
levelinr,1
ratiofibrinogen,2
levelptt,1
timeddimers,1
levelglucose,1
levelglycated,1
hbaccreactive,1
crpsodium,1
levelpotassium,1
levelchlorides,1
levelcalculated,1
osmolality,1
levelphosphates,1
levelcorrected,1
levelurea,1
levelcreatinine,1
levelegfr,1
ckdepi,1
levelalbumin,1
levelprealbumin,1
levelcyanocobalamin,1
levelfolate,1
levelhydroxy,1
levelprobnp,1
peptid,1
levelultra,1
levelasat,1
levelalat,1
levelalkaline,1
phosphatases,2
levelgamma,1
glutamyl,1
transpeptidase,1
leveltotal,1
leveltsh,1
levelarterial,3
pharterial,2
pressurearterial,2
lactatearterial,1
hco,3
bicarbonateprotein,1
pressurecardiac,2
ratesrespiratory,2
ratestemperatureoxygen,1
flowspecific,1
scales,21
vas,22
painspecific,1
fimspecific,1
scorespecific,1
mnaspecific,1
nrsserum,1
bacteriologic,1
samplepatient,1
uprequirement,1
supportadverse,1
effectscardiac,1
hypoglycaemia,3
rbs,1
mmollrequirement,1
admissionmortality,5
ratereadmission,2
ratedaily,1
scoredaily,2
indicesdischarge,1
stayqt,1
prolongationcardiac,1
arrythmia,1
fatalviral,1
sequencesone,1
isare,1
outcomegroup,1
positiv,1
syndromeevaluate,1
hospitalizationevaluate,1
parametersevaluate,1
ventilationevaluate,4
reactionsevaluate,1
sixmonth,2
sfvhk,2
scoressixmonth,1
scoresonemonth,1
sfvhkonemonth,1
scoresthreemonth,2
scoresone,1
swabviral,2
swabproportion,2
cancerassessing,1
involved,4
acuityexperienced,1
appetite,6
foodrelated,1
covidpercent,3
covidpvpi,1
usepvpi,1
delay,4
beginning,25
modulates,1
autoimmunity,5
systeunderstand,1
associatepredict,1
swabsassessment,1
scaleevaluate,1
saturationevaluate,1
supplementationassess,1
mechanismslength,1
careassess,3
intubationchange,2
administrationdeath,1
gold,4
standarddetection,1
spectrometrydetection,1
glycemic,5
adolescents,10
diabetesimpact,1
improvementmortalityoxygen,1
improvementincidence,8
useduration,54
deathrecovery,1
ventilationclearance,1
specimenimmune,1
fatiguechange,6
saturationankle,1
circumferencethigh,1
circumferencefoot,1
circumferencevenous,1
flowfrailtylength,1
staymajor,1
eventsinstrumental,1
scalecommunity,1
engagement,27
scaledepression,3
scaleweight,1
lossneuropathychange,1
pancreatic,9
diagnosispositive,1
laboratoryinstrumental,1
virusthe,2
improvementthe,1
extremely,2
ecmotime,7
cancellation,9
unitduration,6
daysthe,4
scaledynamical,1
valueschanges,13
lesion,12
diseasephysiopathologic,1
mechanism,3
contents,2
improvementmortalityspo,5
trendsthrombosisallcause,1
mortalityorotracheal,1
whoosci,2
scored,2
uninfected,7
whooscichange,1
whoosciallcause,1
mortalityhydroxychloroquine,1
profileschange,1
ratiotreatmentrelated,1
hcqrate,1
unittime,3
improvementduration,4
hrsstatus,1
oxygenrates,1
useincidence,27
usecardiac,1
tachycardiacardiac,4
lengthening,2
rateneed,2
ratelength,4
comorbiditiesthe,1
hospitalizationelectrocardiography,1
intervalnumber,1
classescomprehensive,1
geriatric,16
cgabiological,1
parametersmedical,1
resultsdiagnosis,1
covidlength,3
causereports,1
twomonth,1
ukhospitalisations,1
covidmortalitypatient,1
expanded,4
scorehospital,2
scalemultiple,1
sclerosis,11
vmultiple,1
vfatigue,1
scaleeuroqol,1
saechange,1
icupercentage,2
agentsrate,1
mortalitypercentage,6
expressionpercentage,1
radiologic,9
findingspercentage,2
qrtpcrhrct,1
chestseverity,1
covidduration,3
inpatientsprevalence,1
diabetesprevalence,1
diabetesdemographic,1
agegender,1
hospitalizationlaboratory,2
hospitalizationpharmacological,1
equal,15
zerocreactive,1
proteinslymphocyte,1
countddimers,1
compareddetectability,1
eventsgeometric,6
acq,2
postinterventionchange,37
intentions,6
socd,1
postinterventioncovid,1
questionsinventory,1
idasself,1
hate,1
shscomprehension,1
questionseveryday,1
discrimination,17
scaleshort,3
versionperceived,1
symptomsactivity,1
washing,4
washi,1
covidsevere,2
embolismcrrtcontinuous,1
therapyecmo,1
parametersphysical,1
levellevels,1
product,18
investigation,2
graduated,2
ctcaeefficacy,1
causeefficacy,1
ventilationefficacy,5
randomizationefficacy,1
levelefficacy,1
alterationsefficacy,1
disappearance,8
sarscovefficacy,1
treatmentefficacy,2
daysvirology,1
nasooropharyngeal,2
exudate,1
samplevirology,1
quantificationvirology,1
pc,1
functionsrespiratory,1
functiondepression,1
statussensory,1
functionsheart,1
reached,5
scaledetermined,1
critic,1
diseasesdetermined,1
deathdetermined,1
therapydetermined,1
hospitalizationdetermine,1
aesincidence,16
saeschange,4
predose,28
rbc,8
resultchange,5
resulttimeweighted,2
mildmoderate,7
randomizationassessment,2
symptomatologiesassessment,1
commorbidity,1
scoreassessment,1
appreciation,3
teh,1
autonomy,6
aggir,1
scoremeasuring,1
minimental,2
mmse,2
scoresscreening,1
meassuring,1
pneumoniaanalyzing,1
demographiclaboratory,1
datas,1
theoretical,1
stabilized,1
rest,4
medium,6
maskdisease,1
useradiological,1
imagingnumber,2
unitnumber,5
therapynumber,11
corticosteroid,9
treatmentnumber,11
pcl,12
testnumber,3
technically,1
failed,2
issuestime,1
into,21
aggravationdeath,1
causetocilizumab,1
toxicitylevels,1
treatmentevaluate,1
progress,16
ratioevaluate,1
bad,2
coagulabilityvenous,1
vte,10
fast,3
infectiondescription,1
noninfected,3
antibodiescompare,1
vaccinesdescribe,1
eventpharmacokinetics,1
titersproportion,1
periodincidence,2
periodcomplications,1
covidtypes,1
assaysvegfavegfcvegfdtiefltplgffgf,1
progressionmortality,2
become,10
covidlink,1
carepredictive,1
metagenomic,1
measurstime,1
testby,1
samplessafety,1
byctcae,1
vpk,1
measuresauctaupk,1
measurescmaxpk,1
measurestmaxpk,1
measurestpk,1
measuresclpk,1
measuresvdproportions,1
testviral,2
baselinepulmonary,1
ctobserve,1
vitreous,3
eventsbiomarkers,1
alteration,13
dlcomechanism,1
exchangesmeasurement,1
volumesmechanism,1
exchanges,2
scanmechanism,1
scintigraphyrespiratory,1
symptombronchial,1
anomaliespersistent,1
anomalies,9
rtrapercent,2
recoveredimproved,1
classificationreturn,1
stabilitysarscov,1
undetectableclinical,1
deteriorationpercent,1
dischargeddeath,1
skilled,5
facilitiesto,5
casesto,1
continuedto,1
episodesto,1
covidmaternal,2
diseasenewborn,1
advice,5
referring,2
rheumatologist,4
surveyevaluate,1
asked,5
student,4
studiedcovid,1
populationproportion,1
informed,3
studiedevaluate,3
studiedto,1
lifelength,1
icuincidence,4
mortalityrehospitalizationpercentage,1
needpercentage,1
depressionscore,1
independencescore,1
eventsscore,1
copdsymptoms,1
bab,10
maraviroc,1
scaleanalyze,1
ambient,8
satorelated,1
inflammationanalyze,1
adaptive,6
lymphocytesquantify,1
vanalyze,1
variableschanges,1
covidanalyze,1
covidanalytical,1
ldhanalyze,1
ght,1
haute,1
bretagne,1
establishmenta,1
biotech,4
ng,3
testa,2
observers,2
igga,1
igmb,1
functionc,1
functiond,1
epidemice,1
alaphospate,1
sfc,2
covidsum,1
grouprate,1
grouppatient,1
hospitalizedoverall,1
survivalresults,1
therapyresults,1
settingsresults,1
symptomsresults,1
parameterslength,2
hospitalizationthe,7
icuresults,1
scoreresults,1
parameterresults,3
efficacyresults,1
levelresults,7
cdcd,7
leucocytesresults,1
neutrophilsresults,1
lymphocyteresults,1
plateletsresults,1
hemoglobinresults,1
albuminresults,1
astresults,1
altresults,1
bilirubinresults,1
nitrogenresults,1
creatinineresults,1
kinaseresults,1
ldhresults,1
myoglobin,1
glucoseresults,1
apttresults,1
urineresults,1
functionresults,2
parametersresults,1
examinationresults,1
coinfectionsresults,1
pressuremapresults,1
hrresults,1
rrresults,1
lead,8
ecgorgan,1
infectioncumulative,7
institutions,2
belonging,5
univi,2
grouprecurrence,1
nb,1
testrisk,1
caregiverscovid,1
residentsprevalence,1
third,14
trimester,6
illnessdifferences,2
processes,4
villous,1
maturity,1
medicated,1
bcumulative,1
anot,1
hospitalizedallcause,1
mortalityreinfectionsecondary,1
sclerosing,1
cholangitis,1
sscchronic,1
covidpatients,3
treatmentpatients,1
dexamethasone,3
symptomsnegative,1
sarscovpcr,1
testoxygen,2
therapycovid,2
pneumoniapercentage,2
caremortalitysaesgrade,1
aessarscov,1
concentrationssarscov,2
titersplasma,1
rtpcrrate,1
antisarscovcomposite,1
considering,1
testhospitalization,1
infectionevent,1
ratemortalitychange,1
tension,5
alveolar,7
spacechange,2
accessory,2
workload,2
infectiondistribution,1
severityduration,3
serologynumber,3
workday,2
absences,2
reasonadverse,1
anxietycovidrelated,1
symptomsselfefficacy,1
coping,21
covidconsequences,1
weeksgeneral,1
attitudemedia,1
reportingultrabrief,1
depressionchange,7
anxietychange,12
improvementadverse,4
interestserious,1
eventssurvivalinvasive,1
ventilationdisease,1
severitytime,7
interestlength,1
meausuressarscov,1
pcrinflammatory,1
markersradiographyfever,1
hypoxiapatients,1
comorbiditiestiming,1
ip,15
outcomeneutralising,1
absars,1
iggpresence,1
infectionsduration,1
symptomsmaximum,1
infectionsnumber,11
infectionspeak,1
thcomparative,1
loadclinical,4
improvementpneumonia,1
meeting,6
whocategory,1
scalecycle,1
pcrmultiplex,1
examinationsupplemental,1
requirementmodified,1
nervous,4
affectionrate,1
followuprate,10
followupneuropsychological,1
upneuropsychological,1
monthsrate,2
uprate,2
affection,3
emgneurography,2
myopathy,4
followuplevels,2
neuropsychiatric,4
followupduration,1
oasismeasure,1
odsismeasure,1
pclmeasure,1
overprotectionovercontrol,1
sembumeasure,3
warmth,1
parent,33
accommodation,1
fasa,1
validationtest,1
qualitychange,5
quantitychange,1
causality,5
safetyincidence,9
meaningful,3
safetyviral,1
timepointstime,2
antidrug,34
coviamgcytokine,1
posttreatmentauc,1
coviamg,4
pkcmax,4
pktmax,3
pkt,3
nors,6
covidtreatment,3
treatmentstreatment,2
virucidal,2
recoverytreatment,1
symptomstreatment,1
ops,1
collectionsarscov,1
valuesops,1
nps,3
discomfort,8
retestedratio,1
deathdecrease,1
symptomsdevelopment,2
functionradiological,1
alterationsquality,1
hourstime,16
ventilationabsolute,1
scalepercentage,13
rdvpk,4
halflife,23
trough,10
gssafety,2
gradesafety,6
hematologic,8
aesafety,4
rdv,16
committee,3
cmcsafety,1
losssafety,1
anomaliessafety,1
weekssafety,2
small,5
percentilesafety,1
weightsafety,1
lengthsafety,1
circumferencepk,1
cmc,1
supportmolecular,1
progressiontype,1
shocksarscov,1
macrophagessarscov,1
genotypes,1
representative,1
lombardy,1
populationnumber,3
statusreturn,1
airsarscov,1
rnadischargedeath,1
vaccineserum,1
levelstnfalpha,2
levelsinterferon,1
levelsinterleukine,1
testmedical,2
scalefatigue,2
scalebeck,4
inventorybeck,3
candidate,46
systemthe,1
recording,3
eventsmeasuring,1
proposed,5
patientsmeasure,1
key,13
periodmeasure,1
periodto,22
deteroriation,1
daysto,4
useto,2
spofioto,1
loadto,2
dischargeto,1
haemofiltration,1
contaminated,3
personnelnumber,1
servicenumber,1
effective,7
protectioncomparison,1
losing,2
maintaining,4
staydescription,1
cohortprognosis,1
caracteristics,2
survivalprediction,1
characteristicscharacterization,1
outcomesprognosis,1
clinicobiological,1
aphp,3
monthsprevalence,2
git,1
bp,8
hypertensive,1
coursecough,1
coursethroat,1
coursediarrhea,1
inf,8
courseneed,1
eucivirus,1
assaysthe,4
euvirus,2
improvementfrequency,2
endpointcase,1
applicablelength,1
icuduration,7
samplepredictive,1
comorbiditiespredictive,1
markerspredictive,1
inflamationpercentage,1
former,3
willing,2
donate,1
qualifying,2
donationamount,1
could,5
trialtiter,1
transfused,5
unitsimpact,1
responsecourse,1
plasmacorrelation,1
outcomeseffect,2
timing,2
transfusions,3
intubationsurvival,2
dischargechanges,2
plasmaabnormal,1
basic,7
bmp,1
plasmachanges,5
heath,3
rtpct,1
testingoccupational,1
provider,20
scoreprovider,1
scoreuse,1
encounters,4
pvvih,6
hauts,1
francedetermine,1
treatmentdetermine,2
discontinuing,1
stopped,3
followuppsychological,1
hadpsychological,1
proqolhiv,1
armdays,1
absenteeism,14
reason,9
armprevalence,1
tb,7
armcompare,1
worseningassessment,1
toleranceassessment,1
complianceassessment,2
mediumlong,2
symptomsassessment,6
lifeassesment,1
qualityassessment,1
consumptionassessment,1
blind,5
treatmentassessment,1
casesassessment,2
factorsanalysis,2
patientsassessment,1
controlnumber,1
ventilationc,1
covideconomic,1
analysespcr,1
register,2
postsurgical,1
complicationsregister,1
reinterventionregister,1
admissionregister,1
stayregister,1
nonscheduled,1
specimensrate,1
loadproportion,4
contactstimeweighted,1
infectedchange,1
eventsnumber,37
transfusionrelated,4
eventsassesment,1
sab,1
intravenouslyimmune,1
elicited,4
sabconcentration,1
antisab,1
sabincidence,1
specimenslevel,1
physicians,9
covidphysicians,1
disulfiram,2
foldchange,2
proinflammatory,19
eg,26
etcvirologic,1
copies,7
million,5
vchange,4
adapted,17
somatic,5
sss,1
radiation,7
oncology,4
lieu,2
person,8
listed,4
anemia,3
dehydration,1
emesis,1
neutropenia,6
airvopeep,1
hospitalmortality,2
monthsnumber,6
aaprp,6
controlto,1
antiinflammatory,9
ilra,4
controleffect,2
treatmenteffect,1
thorax,2
aaprptreated,1
groupeffect,1
hospitality,1
hospitalizationadverse,5
eventsinvestigational,1
discontinuationhospitalization,1
adjudication,4
comitteeclinical,1
word,1
scaleneed,1
careduration,2
hospitalizationneed,5
symptomssarscov,1
assessmentsarscov,1
assessmentperipheral,1
phenotypingacute,1
functionconcentration,1
bloodconcentration,1
bloodliver,1
functionliver,1
infectionobserved,1
proper,2
wearingrespiratory,1
timechange,40
recoverycumulative,3
aescumulative,6
administrationduration,4
studyduration,3
usemean,6
scaleoxygenation,2
useproportion,10
failuresubject,2
mortalitysubject,6
deathventilator,2
stayoverall,1
transfusionordinal,1
scaleimprovement,1
ferritinimprovement,1
procalcitoninimprovement,1
proteinimprovement,1
ddimerimprovement,1
countchest,1
oxygenadverse,1
geography,1
setting,24
hcwoccurrence,1
hcwsoccurrence,1
limitation,10
activitiesoccurrence,2
diseaseoccurrence,2
mortalitytype,1
countryregionsite,1
hcwsevaluation,1
armevaluation,4
investigational,19
drugevaluation,1
armcorrected,1
virtual,16
